[2025-08-24 16:03:30.593] LINEARIZABILITY_TEST_SUITE_START: Starting linearizability and write durability testing
[2025-08-24 16:03:30.594] CONFIG: Concurrent clients: 10, Operations per client: 100, Duration: 10m0s
[2025-08-24 16:04:00.749] CONNECTIVITY: Initial connectivity and consistency verified
[2025-08-24 16:04:01.032] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-17 (duration: 6.355125ms)
[2025-08-24 16:04:01.032] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-17 (duration: 6.312833ms)
[2025-08-24 16:04:01.033] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-18 (duration: 2.249167ms)
[2025-08-24 16:04:01.035] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-19 (duration: 2.242041ms)
[2025-08-24 16:04:01.038] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-18 (duration: 912.917µs)
[2025-08-24 16:04:01.042] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-19 (duration: 1.003542ms)
[2025-08-24 16:04:01.046] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-18 (duration: 3.604042ms)
[2025-08-24 16:04:01.046] LINEARIZABILITY_WRITE_SUCCESS: client-3 wrote client-3-seq-19 (duration: 3.910042ms)
[2025-08-24 16:04:01.046] LINEARIZABILITY_WRITE_SUCCESS: client-4 wrote client-4-seq-18 (duration: 3.732917ms)
[2025-08-24 16:04:01.046] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-19 (duration: 3.729291ms)
[2025-08-24 16:04:01.046] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-18 (duration: 3.757917ms)
[2025-08-24 16:04:01.046] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-19 (duration: 4.066708ms)
[2025-08-24 16:04:01.050] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-19 (duration: 4.868667ms)
[2025-08-24 16:04:01.051] LINEARIZABILITY_WRITE_SUCCESS: client-8 wrote client-8-seq-20 (duration: 4.955ms)
[2025-08-24 16:04:01.051] LINEARIZABILITY_WRITE_SUCCESS: client-10 wrote client-10-seq-19 (duration: 1.805542ms)
[2025-08-24 16:04:01.056] LINEARIZABILITY_WRITE_SUCCESS: client-2 wrote client-2-seq-20 (duration: 1.193583ms)
[2025-08-24 16:04:01.062] LINEARIZABILITY_WRITE_SUCCESS: client-7 wrote client-7-seq-19 (duration: 1.992791ms)
[2025-08-24 16:04:01.063] LINEARIZABILITY_WRITE_SUCCESS: client-5 wrote client-5-seq-20 (duration: 2.94375ms)
[2025-08-24 16:04:01.063] LINEARIZABILITY_WRITE_SUCCESS: client-1 wrote client-1-seq-20 (duration: 3.166041ms)
[2025-08-24 16:04:01.063] LINEARIZABILITY_WRITE_SUCCESS: client-6 wrote client-6-seq-20 (duration: 3.189666ms)
[2025-08-24 16:04:01.063] LINEARIZABILITY_WRITE_SUCCESS: client-9 wrote client-9-seq-19 (duration: 3.203667ms)
